wealth,age,educ,marry
39679.,28,4,1
101326.,57,2,1
127960.,51,2,1
375555.,53,4,0
2494.,23,3,0
411170.,49,4,1
3595.,24,2,0
19939.,73,4,1
9807.,34,3,0
169861.,38,5,1
191224.,53,2,1
15941.,25,4,0
213772.,38,1,0
62531.,42,3,0
82330.,51,3,0
127432.,45,3,1
244526.,42,3,1
17000.,21,2,0
90226.,28,4,0
38165.,36,5,0
92498.,55,2,0
16756.,29,2,0
11615.,44,2,1
6664.,28,2,0
30982.,41,2,1
1439.,26,2,0
9836.,24,4,0
70550.,50,1,1
201920.,39,3,1
6425.,26,3,1
4432.,25,3,1
16651.,34,1,0
463198.,55,5,0
16432.,32,1,0
187849.,40,2,1
4985.,45,1,1
88991.,49,4,1
22406.,42,3,1
7110.,35,5,1
629754.,65,5,0
233350.,71,4,1
7157.,29,2,0
5282.,22,2,1
29090.,58,2,1
35132.,37,5,0
366509.,55,4,1
219125.,56,5,1
299478.,52,5,0
5553.,26,4,1
21604.,62,2,0
437206.,56,2,1
59947.,59,4,1
272507.,43,1,0
915534.,47,4,1
4985.,24,2,0
42574.,40,4,1
190954.,58,1,1
12243.,28,5,0
33053.,30,4,1
692161.,59,5,1
745436.,45,4,0
264561.,46,5,1
12067.,25,4,0
1722.,26,3,0
47264.,39,5,0
44314.,47,5,1
137832.,40,4,1
97650.,34,2,1
74931.,35,4,1
24670.,22,2,0
635059.,65,4,1
134728.,37,3,0
10478.,30,3,0
12709.,53,2,1
11255.,56,3,0
199363.,55,3,1
221080.,44,4,1
183902.,59,5,1
269173.,51,2,1
208839.,37,4,0
147027.,43,1,1
20048.,31,2,0
27458.,24,4,0
4771.,28,4,0
13373.,28,5,1
12563.,30,3,0
92813.,62,2,0
370840.,62,4,1
1142327.,44,5,1
85631.,41,4,1
227708.,54,4,1
14358.,24,2,0
788521.,47,3,1
26846.,39,3,1
1449.,26,2,0
176772.,55,1,1
97532.,65,5,1
19177.,53,4,1
400449.,59,3,1
61806.,51,3,0
464114.,30,4,0
277631.,61,3,1
56793.,37,3,0
535629.,52,3,0
101797.,49,3,1
400698.,64,5,1
395802.,49,4,0
40348.,50,1,1
13749.,21,2,0
178624.,47,5,0
22969.,72,4,1
92572.,43,4,1
49440.,37,2,1
4666.,26,2,0
35175.,30,2,1
27385.,28,4,0
53112.,69,2,1
108551.,30,4,0
65777.,40,5,0
27824.,26,4,1
198007.,51,2,1
9678.,21,2,0
5729.,24,2,0
509541.,56,3,1
9801.,23,2,0
1693.,22,3,0
56886.,29,3,1
1526.,22,3,0
355751.,56,2,1
379764.,53,4,1
202555.,33,2,1
22275.,25,3,0
29307.,28,3,0
332448.,43,1,1
36072.,53,2,0
73949.,46,2,1
87369.,40,3,0
69109.,48,1,0
14303.,21,3,0
417516.,63,3,0
879527.,45,2,0
12964.,31,1,1
2263.,26,2,0
39400.,30,2,0
426082.,57,3,1
1225092.,56,4,0
1027540.,52,4,1
138761.,30,5,0
163142.,41,3,1
1199432.,42,4,1
43033.,65,4,0
794187.,53,5,1
100283.,46,5,1
5005.,24,4,0
91412.,46,3,1
646894.,47,4,1
821585.,62,4,1
1558.,24,3,0
1366.,21,3,0
52045.,50,2,1
1759553.,52,4,1
63055.,35,4,0
245808.,54,3,1
66262.,33,4,0
274883.,50,5,1
26423.,36,2,1
152463.,53,3,1
60252.,52,3,0
84470.,58,4,1
506097.,53,5,1
8501.,34,3,0
3368.,24,3,0
103958.,26,4,0
3036.,37,2,1
182328.,63,4,1
111542.,45,4,1
27760.,30,3,0
5795.,22,2,0
34158.,23,3,0
161917.,23,4,0
22392.,58,4,1
11159.,34,3,1
193153.,38,3,1
6609.,24,2,0
116034.,59,1,1
58965.,52,3,1
888528.,70,5,1
158164.,48,3,1
217289.,51,2,1
549369.,76,3,1
3985.,60,1,0
371839.,53,4,1
930318.,65,5,1
129457.,41,2,0
34651.,50,3,1
77923.,60,2,1
108216.,38,4,0
334329.,47,5,1
326173.,63,5,1
481616.,65,2,0
300109.,58,3,1
24987.,28,3,0
9511.,25,4,0
302974.,55,3,0
74778.,55,2,1
557477.,55,3,1
